"id","name","cm","phone","address","postal_code","city","longitude","latitude"
"158","Lesquin VI","3192","03-20-87-90-60","RUE DE LA CROIX BOUGARD CENTRE ROUTIER","59810","LESQUIN","3.114203","50.582089"
"159","Montdidier","3232","03-22-37-08-67","30, AVENUE MAURICE LECONTE","80500","MONTDIDIER","2.55743","49.642569"
"160","Montmirail","3237","03-26-81-22-14","16 RUE DE LA GUINOTTERIE ZI DU MONDANT","51210","MONTMIRAIL","3.555166","48.842477"
"161","Reims Pompelle","3283","03-51-30-81-30","2A BOULEVARD DE VAL DE VESLES ZI DE LA POMPELLE 51","51100","REIMS",NULL,NULL
"162","Rethel","3287","03-24-72-64-80","RUE DE BASTOGNE Z.I. DE PARGNY","08300","RETHEL",NULL,NULL
"163","Base av. Boulogne sur mer","3043","03-91-90-00-30","RUE PIERRE MARTIN Z.I. DE L INQUIETERIE","62280","ST MARTIN LES BOULOG",NULL,NULL
"164","Saint Martin au Laert","3316","03-21-38-99-00","RUE DES CORMETTES Z.I. FOND SQUIN","62500","ST MARTIN AU LAERT","2.224463","50.76247"
"165","Valenciennes","3353","03-27-21-02-54","ROUVIGNIES PROUVY Z.I. 2","59328","VALENCIENNES",NULL,NULL
"166","Vitry","3370","03-26-72-27-33","RUE DE LA VIOLETTE Z.I. DES MAROLLES","51300","VITRY LE FRANCOIS","4.618739","48.723625"
"167","Amiens VL","3010","03-22-50-43-43","120, CHAUSSEE JULES FERRY","80000","AMIENS",NULL,NULL
"168","La Madeleine","3172","03-28-38-91-30","261 BIS, AV. DE LA REPUBLIQUE","59110","LA MADELEINE","3.078064","50.64863"
"169","Laon ZI","3181","03-23-23-01-17","10, RUE DES MINIMES Z.I.","02000","LAON",NULL,NULL
"170","Lesquin VL","3193","03-20-16-98-80","RUE DE LA CROIX BOUGARD CENTRE ROUTIER","59810","LESQUIN","3.114203","50.582089"
"171","Lille Isly","3194","03-20-00-17-20","20, RUE D ISLY","59000","LILLE","3.039194","50.625298"
"172","Mons en Baroeul","3229","03-20-04-88-08","322, RUE DU GENERAL DE GAULLE","59370","MONS EN BAROEUL","3.111784","50.647329"
"173","Saint Quentin","3321","03-23-06-67-67","51 TER, AV. GENERAL DE GAULLE ZI","02100","ST QUENTIN","3.299779","49.845397"
"174","Soissons","3334","03-23-59-95-99","60, AVENUE DE COMPIEGNE","02200","SOISSONS","3.310323","49.381463"
"175","Vervins","3359","03-23-98-30-79","7,  PONT DE PIERRE","02140","FONTAINE LES VERVINS","3.885568","49.831635"
"176","Blanc Mesnil VI","3038","01-48-67-17-40","3, AMAND ESDERS","93150","BLANC MESNIL","2.468285","48.948158"
"177","Coignières","3083","01-30-05-00-00","109 A 115, ROUTE NATIONALE 10","78310","COIGNIERES","1.921803","48.747267"
"178","Conflans Sainte Honorine","3088","01-39-72-04-00","9, RUE DE L ACTIVITE Z.I. DU CHAMP GAILLARD","78700","CONFLANS ST HONORINE",NULL,NULL
"179","Coulommiers","3094","01-64-03-01-95","8, RUE DE L ORGEVAL Z.I.","77120","COULOMMIERS",NULL,NULL
"180","Dreux","3105","02-37-62-55-30","27, AVENUE DES FENOTS","28100","DREUX","1.349505","48.740167"
"181","Etampes","3145","01-69-78-18-30","ZI DES ROCHETTES","91150","MORIGNY",NULL,NULL
"182","Gellainville","3157","02-37-88-42-20","28 AVENUE LOUIS PASTEUR Z.I","28630","GELLAINVILLE",NULL,NULL
"183","Lagny","3175","01-60-94-08-98","6-8, RUE CLAUDE CHAPPE Z.I.","77400","LAGNY S/MARNE","2.68289","48.874492"
"184","Mantes","3212","01-30-92-49-49","125, BOULEVARD ROGER SALENGRO","78711","MANTES LA VILLE","1.696948","48.981333"
"185","Massy Palaiseau VI","3220","01-69-20-38-20","12-14 RUE FRANCOIS SOMMER","92160","ANTONY","2.305533","48.732041"
"186","Montereau ZI","3235","01-64-32-11-98","7 RUE DES GRANDES HAIES Z.I.","77130","MONTEREAU",NULL,NULL
"187","Provins","3276","01-64-00-03-23","ROUTE DE CHAMPBENOIST Z.A.C. DES BORDES","77160","PROVINS",NULL,NULL
"188","Vaux le Penil","3355","01-64-39-12-63","22, RUE DU MARECHAL JUIN","77000","VAUX LE PENIL","2.682813","48.537908"
"189","Villeneuve la Garenne","3364","01-41-21-86-60","8, RUE DE LA REDOUTE Z.I.","92390","VILLENEUVE LA GARENN",NULL,NULL
"190","Blanc Mesnil VL","3039","01-55-81-19-60","190, AVENUE CHARLES FLOQUET","93150","BLANC MESNIL","2.445959","48.94054"
"191","Corbeil","3091","01-60-89-15-25","80, 84,  BLD DE FONTAINEBLEAU","91100","CORBEIL ESSONNES","2.474037","48.596819"
"192","Drancy","3104","01-77-93-30-80","31AVENUE HENRI BARBUSSE","93700","DRANCY","2.451688","48.919434"
"193","Longjumeau","3199","01-69-74-18-88","5, ROUTE DE VERSAILLES PETIT CHAMPLAN","91160","LONGJUMEAU","2.290161","48.699331"
"194","Massy CORA VL","3219","01-64-53-13-55","120, AVENUE DE L EUROPE CENTRE COMMERCIAL CORA","91885","MASSY",NULL,NULL
"195","Massy VL","3221","01-69-75-13-50","12, RUE MARCEL PAUL Z.I. DE LA BONDE","91300","MASSY",NULL,NULL
"196","Nanterre VL","3246","01-55-69-16-00","74-76,  AVENUE W. LENINE","92000","NANTERRE","2.19206","48.887967"
"197","Nemours","3250","01-64-28-11-21","16, RUE D EGREVILLE","77140","NEMOURS","2.717036","48.263644"
"198","Paris XVII","3261","01-53-06-67-00","181 TER, AVENUE DE CLICHY","75017","PARIS","2.314926","48.893386"
"199","Pierrelaye VL","3267","01-34-21-34-34","121, AVENUE DU GENERAL LECLERC R.N. 14","95480","PIERRELAYE","2.144588","49.021669"
"200","Plaisir","3269","01-82-61-05-30","5 RUE DES FRERES LUMIERE","78370","PLAISIR","1.956337","48.82912"
"201","Poissy VL","3270","01-30-06-31-40","40, BOULEVARD ROBESPIERRE 43 BOULEVARD DEVAUX","78300","POISSY","2.04734","48.93304"
"202","Pontault Combault","3275","01-82-70-00-20","ZAC DE LA TETE DE BUIS IMPASSE PEPITO 21 ROUTE  DE PARIS","77340","PONTAULT COMBAULT","2.593559","48.775822"
"203","Saint Cyr l'Ecole","3301","01-30-45-29-72","10, AVENUE H. BARBUSSE","78210","ST-CYR-L ECOLE","2.068356","48.794864"
"204","Valenton","3354","01-43-89-06-54","54, AVENUE HENRI BARBUSSE","94460","VALENTON","2.441825","48.765154"
"205","Versailles","3358","01-30-21-24-25","77, RUE DES CHANTIERS","78000","VERSAILLES","2.144459","48.792687"
"206","Villejuif","3363","01-46-77-06-06","21 RUE DE VERDUN VAL-DE-MARNE","94800","VILLEJUIF","2.354242","48.79387"
"207","Viroflay","3366","01-30-24-49-96","199, AVENUE DU GENERAL LECLERC","78220","VIROFLAY","2.159791","48.799252"
"208","Viry Chatillon","3367","01-69-44-30-07","134, AV. DU GENERAL DE GAULLE R.N. 7","91170","VIRY CHATILLON","2.378118","48.682302"
"209","Aire sur Adour","3003","05-58-71-62-14","ROUTE DE BORDEAUX","40800","AIRE SUR L ADOUR","-0.264278","43.721919"
